,type,run_mems,baselines,encoding
564,mde,3211.36328125,3202.28125,no
565,mde,3211.36328125,3202.28125,no
566,mde,3211.36328125,3202.28125,no
567,mde,3211.36328125,3202.28125,no
568,mde,3211.36328125,3202.28125,no
569,mde,3211.36328125,3202.28125,no
570,mde,3211.36328125,3202.28125,no
571,mde,3211.36328125,3202.28125,no
572,mde,3209.734375,3202.28125,no
573,mde,3209.734375,3202.28125,no
574,mde,3209.734375,3202.28125,no
575,mde,3209.734375,3202.28125,no
576,mde,3209.734375,3202.28125,no
577,mde,3209.734375,3202.28125,no
578,mde,3209.734375,3202.28125,no
579,mde,3209.734375,3202.28125,no
580,mde,3209.734375,3202.28125,no
581,mde,3209.734375,3202.28125,no
582,mde,3209.734375,3202.28125,no
583,mde,3209.734375,3202.28125,no
584,mde,3209.734375,3202.28125,no
585,mde,3209.734375,3202.28125,no
586,mde,3209.734375,3202.28125,no
587,mde,3209.734375,3202.28125,no
588,mde,3209.734375,3202.28125,no
589,mde,3209.734375,3202.28125,no
590,mde,3209.734375,3202.28125,no
591,mde,3209.734375,3202.28125,no
592,mde,3209.734375,3202.28125,no
593,mde,3209.734375,3202.28125,no
594,mde,3209.73828125,3202.28125,no
595,mde,3209.73828125,3202.28125,no
596,mde,3209.73828125,3202.28125,no
597,mde,3209.73828125,3202.28125,no
598,mde,3209.73828125,3202.28125,no
599,mde,3209.73828125,3202.28125,no
