,type,run_times,encoding
385,umap,10.120693800010486,no
386,umap,10.296621099987533,no
387,umap,10.183780999999726,no
388,umap,10.339566300011938,no
389,umap,10.128241600003093,no
390,umap,10.36235109998961,no
391,umap,10.154865500022424,no
392,umap,10.302197399985744,no
393,umap,10.083263099979376,no
394,umap,10.361569200002123,no
395,umap,10.12838829998509,no
396,umap,10.374603900010698,no
397,umap,10.243049100012286,no
398,umap,10.588393400015775,no
399,umap,10.256996700016316,no
400,mde,6.261803500005044,yes
401,mde,6.459870400023647,yes
402,mde,6.493949600000633,yes
403,mde,6.330017100000987,yes
404,mde,6.533709099981934,yes
405,mde,6.297061999997823,yes
406,mde,6.794783599994844,yes
407,mde,6.6593021000153385,yes
408,mde,6.565307499986375,yes
409,mde,6.3121842999826185,yes
410,mde,6.384304700011853,yes
411,mde,6.4259863999905065,yes
412,mde,6.351886599994032,yes
413,mde,6.504662999999709,yes
414,mde,6.273004200018477,yes
415,mde,6.326345799985575,yes
416,mde,6.49212300000363,yes
417,mde,6.609563399979379,yes
418,mde,6.437232700001914,yes
419,mde,6.474035199993523,yes
420,mde,6.50905709998915,yes
421,mde,6.645761199994013,yes
422,mde,6.331126700009918,yes
423,mde,6.4012626000039745,yes
424,mde,6.4704839999903925,yes
425,mde,6.418971800012514,yes
426,mde,6.449375099997269,yes
427,mde,6.3853714000142645,yes
428,mde,6.677734299999429,yes
429,mde,6.794891199999256,yes
430,mde,6.753663899988169,yes
431,mde,7.207290499994997,yes
432,mde,7.683573599992087,yes
433,mde,6.844064700009767,yes
434,mde,6.661415500013391,yes
435,mde,6.805527199991047,yes
436,mde,6.699076299992157,yes
437,mde,6.718029999989085,yes
438,mde,6.469635299989022,yes
439,mde,6.458267799986061,yes
440,mde,8.024123200011672,yes
441,mde,7.08614870000747,yes
442,mde,6.403117599984398,yes
443,mde,6.4013438999827486,yes
444,mde,6.572038999991491,yes
445,mde,6.5942215000104625,yes
446,mde,6.4550282000273,yes
447,mde,6.427564900019206,yes
448,mde,6.711624799994752,yes
449,mde,6.356198199995561,yes
450,mde,6.465452600008575,yes
451,mde,6.348799600003986,yes
452,mde,6.2450547000044025,yes
453,mde,6.913129000022309,yes
454,mde,6.540051799995126,yes
455,mde,6.697527900018031,yes
456,mde,7.093675199983409,yes
457,mde,6.867161600006511,yes
458,mde,6.422540500003379,yes
459,mde,6.469075100001646,yes
460,mde,6.606483199982904,yes
